matcode,title,ref,au,safstk,reorder,ar,desk,ordcst,eoq,lt,safty,auamt,spare,gr,nm,pstock,ind,nsaftystk,specno,matgroup,section,group_b,group_c,group_a,abc,reordqty,unitrate,dwgno
445413,BALL BAERING HUB NDE KIT-2015                ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
445414,AIR INLET LOUVER KIT-2015                    ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
445415,AIR OUTLET LOUVER KIT-2015                   ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
445416,CABLE GLAND SUPPORTING KIT-2015              ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
445417,ALUMINIUM PLATE KIT-2015                     ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
445418,BUSBAR SYSTEM-2015                           ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
445419,TERMINAL BOARD KIT-2015                      ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
445420,AUXILARY WINDING KIT-2015                    ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
445421,EXCITER KIT-2015                             ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
445422,STATOR WINDING KIT-2015-45kva                ,2015-45kva                          ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
445423,SHORTING CABLES KIT-2015                     ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
445424,MISCELLENEOUS-2015                           ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
445425,WOUND EXCITER FIELD-2015                     ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
445426,MACHINED DE BRACKET-2015                     ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Machine Shop             ,,,,,,,
445427,NDE BRACKET +STATOR FRAME FASTNERS-2015      ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
445428,MACHINED DE BRACKET-2015                     ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Machine Shop             ,,,,,,,
445429,DE BRACKET + STATOR FRAME FASTNERS-2015      ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
445430,MACHINED INNER CAP AND OUTER CAP -D-2015     ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Machine Shop             ,,,,,,,
445431,EF STACK-2015                                ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Fabrication              ,,,,,,,
445432,EA PAPER CUTTING-2015                        ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
445433,COIL FORMING KIT-2015                        ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
445434,EF END CONNECTION-2015                       ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
445435,INNERCAP DE/OUTER CAP NDE KIT-2015           ,2015                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
445500,READY FOR DESPATCH -2015-45kva               ,2015-45kva                          ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
450101,WOUND IMPREGNATED  STATOR                    ,3560                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
450102,SHELL WITH STACK AND ACCSORIES               ,3560                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Fabrication              ,,,,,,,
450103,STATOR IMPREGNATION KIT                      ,3560                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
450104,WINDING KIT                                  ,3560                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
450105,ROLLED SHELL                                 ,3560                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Fabrication              ,,,,,,,
450106,STATOR STACK                                 ,3560                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Fabrication              ,,,,,,,
450107,ACCESSORIES                                  ,3560                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Fabrication              ,,,,,,,
450108,PAPER CUTTING KIT                            ,3560                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
450109,COIL FORMING                                 ,3560                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
450110,WINDING                                      ,3560                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
450111,END CONNECTION                               ,3560                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
450112,GUSSET KIT                                   ,3560                                ,NO,,,,     ,0,,0,0,,0,,,,0,,          ,Sub Assembly        ,Fabrication              ,,,,A ,,,
450113,FEET KIT                                     ,3560                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Fabrication              ,,,,,,,
450114,LIFTING RING                                 ,3560                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Fabrication              ,,,,,,,
450115,ACC WELD KIT                                 ,3560                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Fabrication              ,,,,,,,
450201,ASSEMBLED BALANCED ROTOR                     ,3560                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
450202,DSD ASSEMBLY                                 ,3560                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
450203,WOUND ROTOR                                  ,3560                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
450204,WOUND EX ARMATURE                            ,3560                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
450205,MACHINED FAN                                 ,3560                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Machine Shop             ,,,,,,,
450206,BALANCING DISC                               ,3560                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Machine Shop             ,,,,,,,
450207,DSD RIVETTING                                ,3560                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Fabrication              ,,,,,,,
450208,DSD ASSEMBLY KIT                             ,3560                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Assembly                 ,,,,,,,
450209,MACHINED SHAFT                               ,3560                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Machine Shop             ,,,,,,,
450210,ROTOR STACK                                  ,3560                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Fabrication              ,,,,,,,
450211,ROTOR WINDING                                ,3560                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
450212,END CONNECTION KIT                           ,3560                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
450213,ROTOR IMPREGNATION KIT                       ,3560                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
450214,EA STACK                                     ,3560                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Fabrication              ,,,,,,,
450215,EA WINDING                                   ,3560                                ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
